ua,Stauffer,Information Services,Queen's University Archives,,UARIS,A,ZZ,Archives,Queen's University Archives
"ua,rr",Stauffer,Information Services,Queen's University Archives Reading Room,,UARIS,A,ZZ,Archives - Reading Room,Queen's University Archives Reading Room
ur,Stauffer,Information Services,Queen's University Archives,,UARIS,A,ZZ,University Records Centre,Queen's University Archives
hs,Bracken,Lower Level,Bracken Health Sciences,,BLLL,A,ZZ,Bracken,Bracken Health Sciences
HS-ACQ,Bracken,Information Services,BRACKEN ACQUISITIONS,,BLIS,A,ZZ,BRACKEN ACQUISITIONS,
HS-CIRC,Bracken,Information Services,Bracken Library Circulation,,BLIS,A,ZZ,Bracken Library Circulation,
"hs,av",Bracken,Information Services,Bracken Health Sciences - Learning Resources,,BLIS,A,ZZ,Bracken Health Sciences - Learning Resources,
"hs,ej",Bracken,Information Services,Electronic Journals *Web (Queen's access only),,BLIS,A,ZZ,Electronic Jrnls(Bracken),*Web (Queen's access only)
"hs,fo",Bracken,Lower Level,Bracken Health Sciences - Folios,,BLLL,A,ZZ,Bracken Health Sciences - Folios,
"hs,mf",Bracken,Information Services,Bracken Health Sciences Microforms,,BLIS,A,ZZ,Bracken Health Sciences Microforms,
"hs,rb",Bracken,Information Services,Bracken Health Sciences Rare Books,,BLIS,A,ZZ,Bracken Health Sciences Rare Books,
"hs,rf",Bracken,Information Services,Bracken Health Sciences - Reference,,BLIS,A,ZZ,Bracken Health Sciences - Reference,
"hs,rf24",Bracken,Information Services,Bracken Health Sciences - Reference Exam,,BLIS,A,ZZ,Bracken Health Sciences - Reference Exam,
"hs,rfll",Bracken,Lower Level,Bracken Health Sciences - Reference Lower Level,,BLLL,A,ZZ,Bracken Health Sciences - Reference Lower Level,
"hs,rs1",Bracken,Information Services,Bracken Health Sciences - Reserve (1 hour loan),,BLIS,A,ZZ,Bracken Health Sciences - Reserve (1 hour loan),
"hs,rs24",Bracken,Information Services,Bracken Health Sciences - Reserve (24 hour loan),,BLIS,A,ZZ,Bracken Health Sciences - Reserve (24 hour loan),
"hs,rs3d",Bracken,Information Services,Bracken Health Sciences - Reserve (3 day loan),,BLIS,A,ZZ,Bracken Health Sciences - Reserve (3 day loan),
"hs,rss",Bracken,Information Services,Bracken Health Sciences - Reserve (3 hour loan),,BLIS,A,ZZ,Bracken Health Sciences - Reserve (3 hour loan),
"hs,st",Bracken,Information Services,Bracken Health Sciences - Storage,,BLIS,A,ZZ,Bracken Health Sciences - Storage,
"hs,ts",Bracken,Information Services,Bracken Health Sciences - Technical Services,,BLIS,A,ZZ,Bracken Health Sciences - Technical Services,
"hs,video",Bracken,Information Services,Bracken Health Sciences - Videos,,BLIS,A,ZZ,Bracken Health Sciences - Videos,
hs,Bracken,Information Services,Reserve Item,RESERVE,BLIS,A,ZZ,Special Case - QCAT did not send a call number,
"dl,bibrm",Douglas,7th Level,1923 Reading Room,,DL7,A,ZZ,1923 Reading Room,
es,Douglas,2nd Level (3S),Engineering & Science Library - Books,,DL2,A,QA272,EngSci Books,Engineering & Science Library - Books,
es,Douglas,1st Level (4S),Engineering & Science Library - Books,,DL1,QA273,ZA4080,EngSci Books,Engineering & Science Library - Books,
ES-CIRC,Douglas,Information Services,Engineering Science Circulation,,DLIS,A,ZZ,Engineering Science Circulation,
"es,ab",Douglas,Information Services,Engineering & Science Library - Indexes and Abstracts,,DLIS,A,ZZ,Engineering & Science Library - Indexes and Abstracts,
"es,fo",Douglas,2nd Level (3S),Engineering & Science Library - Folios,,DL2,A,ZZ,Engineering & Science Library - Folios,
"es,fon",Douglas,information Services,Engineering & Science Library - Folios (non-circ),,DLIS,A,ZZ,Engineering & Science Library - Folios (non-circ),
